State,Accident_Count,Avg_Severity
AL,10163,2.242743284463249
AR,2304,2.275173611111111
AZ,17148,2.1142407277816657
CA,173589,2.16707855912529
CO,9178,2.4550010895619963
CT,7172,2.347322922476297
DC,1855,2.1547169811320757
DE,1438,2.2600834492350486
FL,87287,2.1388866612439426
GA,16837,2.5052562808101206
IA,2546,2.408483896307934
ID,1101,2.114441416893733
IL,16908,2.389460610361959
IN,6812,2.3923957721667644
KS,2100,2.3380952380952382
KY,3255,2.466359447004608
LA,15063,2.1250746863174665
MA,6197,2.2862675488139423
MD,14035,2.331599572497328
ME,265,2.237735849056604
MI,16460,2.3386998784933173
MN,19317,2.1642076927059066
MO,7701,2.3999480586936763
MS,1540,2.32987012987013
MT,2813,2.036615712762176
NC,34152,2.1344869992972595
ND,331,2.012084592145015
NE,2891,2.184711172604635
NH,1046,2.226577437858509
NJ,13939,2.2362436329722364
NM,1046,2.378585086042065
NV,2160,2.225925925925926
NY,34490,2.2621919396926646
OH,11733,2.350123583056337
OK,8279,2.0787534726416235
OR,18113,2.1123502456798984
PA,29706,2.2101595637245
RI,1709,2.4774722059684025
SC,38511,2.107553685959856
SD,24,2.3333333333333335
TN,16995,2.196646072374228
TX,58139,2.222982851442233
UT,9689,2.179894725977913
VA,30534,2.27962271566123
VT,91,2.340659340659341
WA,10899,2.346453803101202
WI,3585,2.4834030683403068
WV,1355,2.1535055350553507
WY,338,2.2958579881656807
